1f4b2802-f1db-4532-92d0-c5e8cf2229b0,2023-11-28 21:30:31.454547,2023-11-28 21:30:31.454549,,699996,"",88,Италия,1917443,Ferrara,"","","","","",Очное отделение,Выпускница (бакалавр),498772,Università degli Studi di Ferrara,878902,Dipartimento di Architettura,2000
8ccca5fe-660a-4a3d-9bba-7a19272a5dd6,2023-11-28 21:30:31.456,2023-11-28 21:30:31.456001,,699996,"",87,Испания,1516454,Madrid,"","","","","","",Выпускник (магистр),526682,Universidad Complutense de Madrid,2179602,Facultad de Ciencias Matemáticas,2009
a0ab363b-a260-428d-873b-61a6486375ec,2023-11-28 21:30:47.682258,2023-11-28 21:30:47.68226,,699995,"",1,Россия,1,Москва,"","","","","",Очное отделение,Выпускник (специалист),250,МГТУ им. Н. Э. Баумана (бывш. МВТУ),1043,Факультет энергомашиностроения,1981
9c611e5c-198a-4db1-a97e-faa79c318c81,2023-11-28 21:30:47.695729,2023-11-28 21:30:47.69573,,699995,"",1,Россия,1,Москва,"","","","","",Очно-заочное отделение,Выпускник (магистр),90,АМИ,362,"Кафедра «Бухгалтерский учет, анализ и аудит»",2023
be153bd5-c10a-4905-9d7d-da6ca5fac00d,2023-11-28 21:30:47.696471,2023-11-28 21:30:47.696472,,699995,"",0,"",0,"","Лучше,пусть обо мне скажут люди",Надзор,"Пауло Коэльо, Стивенсон, Харуки Мураками, А.Д. Дементьев, Омар Хайям",Прятки),"Творчество, спорт, музыка",Очное отделение,Выпускница (специалист),472,Уральский ГАУ (бывш. УрГСХА),2149205,Факультет ветеринарной медицины,2004
21192a14-aed1-41db-b212-12bbb57d2dcd,2023-11-28 21:31:02.939844,2023-11-28 21:31:02.939845,,699994,"",0,"",0,"","","","","","","",Выпускник (бакалавр),917156,"",2198756,Escuela de Ingeniería Electrónica,0
818fd224-e997-45b8-9500-7db554530874,2023-11-28 21:31:02.941108,2023-11-28 21:31:02.94111,,699994,"",18,Узбекистан,0,"","","","","","",Очное отделение,Выпускник (бакалавр),8273,НамИТИ (бывш. НамИЭИ),16158,Факультет экономики ,0
7ad02acc-893d-4a90-beba-b5a456f08ed1,2023-11-28 21:31:02.947733,2023-11-28 21:31:02.947735,,699994,"",9,США,0,"","","","","","",Очное отделение,Выпускница (магистр),1872,Saimaan ammattikorkeakoulu,2269096,Restonomi,2023
18878b16-c398-48f4-a41b-cbf3e93973fe,2023-11-28 21:31:02.948323,2023-11-28 21:31:02.948325,,699994,"",1,Россия,42,Воронеж,"","","","","",Очное отделение,Выпускник (специалист),452,ВГУ,5787,Физический факультет,1984
0fd93e62-9f99-4d1d-ae41-00c5df67eb37,2023-11-28 21:31:02.948568,2023-11-28 21:31:02.948569,,699994,"",1,Россия,104,Омск,"","","","","",Очное отделение,Выпускник (специалист),701,СибГУФК,2222725,Факультет физической культуры,1990
77d2e6ff-6f0e-4c05-987c-b46b36fd9b0d,2023-11-28 21:31:02.951513,2023-11-28 21:31:02.951514,,699994,"",166,Сальвадор,15676,San Salvador,"","","","","",Очное отделение,Выпускник (бакалавр),512534,Universidad de El Salvador (UES),1883939,Facultad de Medicina,1998
13c6c74a-536c-48a7-aaec-1eedc2d7cfea,2023-11-28 21:31:20.260742,2023-11-28 21:31:20.260744,,699993,"",1,Россия,82,Магнитогорск,"","","","","",Очное отделение,Выпускница (специалист),613,МГТУ им. Г. И. Носова,34517,Механико-машиностроительный факультет,1976
b15c1fed-5f4f-492b-9dac-0e8632ca5ac1,2023-11-28 21:31:20.265005,2023-11-28 21:31:20.265007,,699993,"",20,Австрия,1708327,Graz,"","","","","",Заочное отделение,Выпускник (бакалавр),527794,"",936426,Blasorchesterleiter/innen,2024
f810cecd-4955-4775-9a19-4cd6977de796,2023-11-28 21:31:38.663323,2023-11-28 21:31:38.663325,,699992,"",1,Россия,1057953,Пушкино,Инструктор и Мастер Титанового покрытия,Обучение •Офлайн •Онлайн,"","","",Очно-заочное отделение,Выпускница (специалист),338,РУДН,1807,Институт гостиничного бизнеса и туризма,2013
859c844b-6be8-4c07-b7c8-b46135ea8325,2023-11-28 21:31:38.66775,2023-11-28 21:31:38.667752,,699992,"",0,"",0,"","","","","","",Очное отделение,Выпускница (специалист),927,ЗабГУ (бывш. ЧитГУ),0,"",2010
cf239504-7da0-41a2-8c6e-064705499e8c,2023-11-28 21:31:38.672236,2023-11-28 21:31:38.672238,,699992,"",1,Россия,2,Санкт-Петербург,"","","","","","",Выпускница (магистр),1,СПбГУ,6,Институт истории (бывш. Исторический факультет),2022
c9bd677f-2d90-47da-8e02-c3ebd424de87,2023-11-28 21:31:38.673457,2023-11-28 21:31:38.673458,,699992,"",1,Россия,151,Уфа,"","","","","",Экстернат,Выпускник (магистр),881,УГАТУ,1889,Институт экономики и управления,2022
bfc854b1-fe93-43b2-8062-e2f129956708,2023-11-28 21:31:56.191667,2023-11-28 21:31:56.191669,,699991,"",1,Россия,25,Барнаул,Много провожу времени дома,Лучше не знать),исторические,"",Музыка,Очное отделение,Выпускник (магистр),103819,БЮИ МВД РФ,1388578,Факультет подготовки сотрудников полиции и следователей,2014
bd9568a6-b142-48bb-b87e-8958f28cdf97,2023-11-28 21:32:12.780045,2023-11-28 21:32:12.780047,,699990,"",1,Россия,95,Нижний Новгород,Legio nomen mihi est quia multi sumus.,Web-разработка,"Д. Уиндем ""Хризалиды"", Ф.М. Достоевский ""Преступление и наказание"" Паскаль, Ларошфуко, Лабрюйер.","Doom 2, S.T.A.L.K.E.R., TES, EFT","",Очно-заочное отделение,Выпускник (специалист),644,ВГУВТ (ВГАВТ),10043,Электромеханический факультет,2012
ea7e17e7-5d5c-4702-b444-8fd63e6fc170,2023-11-28 21:32:28.922838,2023-11-28 21:32:28.922839,,699989,"",1,Россия,64,Кемерово,"",Волонтёр,"","","",Заочное отделение,Выпускник (специалист),414,ДВГТУ (бывш. ДВПИ им. В. В. Куйбышева),31741,Горный институт,2018
2e5880d1-8b2c-4cb5-976a-0b3e989dc72f,2023-11-28 21:32:12.783093,2023-11-28 21:32:12.783094,,699990,"",0,"",0,"","ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠፚᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ
ᅠᅠᅠᅠᅠᅠᅠᅠᅠСαмαя влият℮льнαя ж℮нщинα Ли Юэ
ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ живёт в л℮тαющ℮м дворц℮, 
ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠα в уголkαх ℮ё губ 
ᅠᅠᅠᅠᅠᅠᅠᅠᅠвċ℮гдα пряч℮тся зαгадочнαя улыбkα.
ᅠᅠᅠᅠᅠᅠᅠОнα ċимволизиру℮т н℮ тольkо влαċть и зαkон,
ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ но тαkж℮ богαтċтво и рαзум.","","","","",Очное отделение,Выпускник (специалист),1188907,Escuela Superior de Imagen y Sonido Curva Polar,0,"",2026
0b00b583-cedb-4263-8f08-e3899f1fba7b,2023-11-28 21:32:12.784526,2023-11-28 21:32:12.784527,,699990,"",73,Дания,0,"","","","","","",Очно-заочное отделение,Выпускница (магистр),539009,Københavns Universitet (KU),972967,Det Sundhedsvidenskabelige Fakultet,2023
ff6a5151-0ab2-4f9f-b62a-5425bcd2d98f,2023-11-28 21:32:12.788294,2023-11-28 21:32:12.788296,,699990,"",0,"",0,"","","","","","",Очно-заочное отделение,Выпускница (специалист),487,ЕИ КФУ (бывш. ЕГПУ),69308,Филологический факультет,1988
ca62e2ff-c7b5-46f4-8028-b801c00857b8,2023-11-28 21:32:28.922045,2023-11-28 21:32:28.922047,,699989,"",191,Таиланд,1906450,Bangkok,"","","","","",Очное отделение,Выпускница (бакалавр),751869,มหาวิทยาลัยกรุงเทพ (Bangkok University),1964182,คณะบริหารธุรกิจ (School of Business Management),2020
28154143-f1fc-46b1-9e14-deb65fb3d059,2023-11-28 21:32:45.689315,2023-11-28 21:32:45.689316,,699988,"",0,"",0,"","","","","","",Очное отделение,Выпускник (специалист),47,Санкт-Петербургская академия художеств (бывш. СПбГАИЖСА),164,Факультет архитектуры,0
aea62868-592b-49ea-9ae6-6bd5ff8ca6ec,2023-11-28 21:32:45.696422,2023-11-28 21:32:45.696423,,699988,"",0,"",0,"","","","","","",Заочное отделение,Выпускник (специалист),408,НовГУ,7983,Факультет технологии сельскохозяйственного производства (Институт сельского хозяйства и природных ресурсов),1993
ea586a7b-5ea7-47ba-98fc-e89473ddc45f,2023-11-28 21:33:03.288238,2023-11-28 21:33:03.28824,,699987,"",81,Индонезия,3706798,Jember,"","","","","",Очное отделение,Выпускник (бакалавр),1189265,"",2233131,Fakultas Ilmu Komputer,2016
8f832f66-e763-4397-a04a-6193cb1cc175,2023-11-28 21:33:20.607428,2023-11-28 21:33:20.60743,,699986,"",0,"",0,"","","","","","",Очное отделение,Выпускник (специалист),68070,ТТУ им. М. Осими (бывш. ТПИ),22074,Факультет строительства и архитектуры,1985
7a8b7a64-ccdb-46b8-a9e4-9b9c928dcb07,2023-11-28 21:33:20.611335,2023-11-28 21:33:20.611336,,699986,"",1,Россия,140,Тамбов,"","","","","",Заочное отделение,Выпускница (магистр),335,РосЗИТЛП (бывш. ВЗИТЛП),2265008,Технологический факультет легкой промышленности,1994
393ef6de-b01f-4f1c-ba13-a050fa93618a,2023-11-28 21:33:20.611347,2023-11-28 21:33:20.611348,,699986,"",9,США,378,New York City,"","","","","",Очное отделение,Выпускник (специалист),5208,State University of New York Maritime College (SUNY Maritime),851319,Electrical Engineering,0
b38665ee-2e65-4989-a2ee-eaee34a9ce5a,2023-11-28 21:33:20.614329,2023-11-28 21:33:20.614331,,699986,"",7,Грузия,1965294,Тбилиси,"","","","","",Очное отделение,Выпускница (магистр),191339,Тбилисский гуманитарный университет (ТГУ),648042,Филологический факультет,1997
4b7de521-22fe-41aa-8c83-fba3233ff1b8,2023-11-28 21:33:20.612283,2023-11-28 21:33:20.612285,,699986,"",1,Россия,2,Санкт-Петербург,"","","","","",Очное отделение,Выпускница (бакалавр),1,СПбГУ,6,Институт истории (бывш. Исторический факультет),2023
1db3f8b5-cd53-489b-83f9-688a679fb74f,2023-11-28 21:33:20.612643,2023-11-28 21:33:20.612644,,699986,"",1,Россия,1,Москва,"","","","","",Очное отделение,Выпускница (специалист),143,ИБП,554,Факультет иностранных языков,2006
3cb8bc22-b511-4b73-a06b-9fab109175cb,2023-11-28 21:33:37.744934,2023-11-28 21:33:37.744935,,699985,"",0,"",0,"","","","","","",Заочное отделение,Выпускник (специалист),550,КузГТУ им. Т. Ф. Горбачёва,2270223,Факультет заочного обучения,2007
028d4690-6a23-4aa7-9747-bafc352d65a1,2023-11-28 21:33:37.749004,2023-11-28 21:33:37.749005,,699985,"",0,"",0,"","Пацан холостой 
Вход в сердцу открыт:❤🔓","",Архив ужасов,PUBG,"Спорт, музыка",Очное отделение,Выпускник (специалист),46523,ЖаГУ,389806,Факультет новых информационных технологий,2019
98cd6f52-35aa-4d33-a744-03d2a9a2070b,2023-11-28 21:33:55.043273,2023-11-28 21:33:55.043274,,699984,"",0,"",0,"","","","","","",Очное отделение,Выпускница (магистр),46278,University of London,1832439,International Programmes,0
749a6992-8519-4f04-884f-49506f031fb8,2023-11-28 21:34:48.932618,2023-11-28 21:34:48.932619,,699981,"",73,Дания,1918276,Odense,"","","","","",Очное отделение,Выпускница (бакалавр),539393,Syddansk Universitet (SDU),959531,Det Humanistiske Fakultet ,2023
f65691e5-92c7-47d3-9c47-b6439bcd5bab,2023-11-28 21:34:13.279582,2023-11-28 21:34:13.279584,,699983,"",1,Россия,2,Санкт-Петербург,"","","","","",Дистанционное обучение,Выпускница (бакалавр),1,СПбГУ,1,Биологический факультет,2018
8d44dd26-df3b-4b53-8af2-2a06708feb77,2023-11-28 21:34:30.548456,2023-11-28 21:34:30.548458,,699982,"",0,"",0,"","",Инженер-проектировщик систем водоснабжения и водоотведения с 1973 года,"","","",Очное отделение,Выпускница (специалист),419,СКГМИ (ГТУ),193484,Металлургический факультет,1971
fc19708b-5f38-418e-a901-6d0dc11a5713,2023-11-28 21:34:30.559561,2023-11-28 21:34:30.559562,,699982,"",2,Украина,314,Киев,"","","","","",Очное отделение,Выпускник (магистр),1096,КПИ им. И. Сикорского,2210,Приборостроительный факультет,2023
577cc1ed-9d71-4446-ac82-cfc7df516e61,2023-11-28 21:34:48.928759,2023-11-28 21:34:48.92876,,699981,"",1,Россия,42,Воронеж,"","","","","",Дистанционное обучение,Выпускник (специалист),41879,МФ СГА,280645,Психология,2024
17281195-14e0-44d3-91eb-ccd138c091be,2023-11-28 21:35:21.913049,2023-11-28 21:35:21.913051,,699979,"",192,Тайвань,3726888,Kaohsiung,"","","","","",Дистанционное обучение,Выпускник (бакалавр),1171014,"",2196670,工學院 College of Engineering,0
f9679e64-b236-42a4-94b8-4426bacc6a2e,2023-11-28 21:35:05.544868,2023-11-28 21:35:05.544869,,699980,"",1,Россия,1025059,Витебск,"","","","","","",Выпускник (специалист),102,ВА РВСН им. Петра Великого (бывш. ВА им. Ф. Э. Дзержинского),2264141,Факультет специального вооружения,2015
b414cd76-7e5e-403d-ab86-8055fefa5dc4,2023-11-28 21:35:05.547944,2023-11-28 21:35:05.547945,,699980,"",218,Швеция,2480,Göteborg,"","","","","",Очное отделение,Выпускница (магистр),538357,Göteborgs universitet (GU),967486,Konstnärliga fakulteten,2023
dd7ad830-2f20-441c-be28-46889cd9420d,2023-11-28 21:35:05.549685,2023-11-28 21:35:05.549687,,699980,"",1,Россия,1,Москва,"","","","","",Очное отделение,Выпускница (магистр),304,НИУ МЭИ,1330,Институт электроэнергетики,1987
e7f2945a-b27c-470c-a81f-16f893191b93,2023-11-28 21:35:21.918298,2023-11-28 21:35:21.918299,,699979,"",0,"",0,"","","","","","",Очное отделение,Выпускник (специалист),469941,Institute of World Politics,818103,Strategic Intelligence Studies,2011
76325310-29ed-454e-9c5e-818d590f1b10,2023-11-28 21:35:21.914876,2023-11-28 21:35:21.914878,,699979,"",1,Россия,1,Москва,"","","","","",Очное отделение,Выпускник (специалист),263,РУТ (МИИТ) (бывш. МГУПС Императора Николая II),2260626,Институт транспортной техники и организации производства,1995
77fec7e5-cc0b-46b0-aec2-e7e6cfa7caf3,2023-11-28 21:35:38.017382,2023-11-28 21:35:38.017383,,699978,"",3,Беларусь,649,Гродно,"","","","","",Очное отделение,Выпускница (специалист),66413,ГрГУ им. Янки Купалы,147385,Педагогический факультет,1981
1148328d-a1c6-4421-be66-46a1fc1008c7,2023-11-28 21:35:38.021362,2023-11-28 21:35:38.021363,,699978,"",2,Украина,292,Одесса,"","","","","",Очно-заочное отделение,Выпускник (магистр),2899,ОГЭКУ (бывш. ОГМИ),1026457,Природоохранный факультет,2023
2722434f-fb52-4a40-9a2d-99ec9de985b2,2023-11-28 21:35:38.020486,2023-11-28 21:35:38.020488,,699978,"",1,Россия,49,Екатеринбург,"","","","","",Дистанционное обучение,Выпускница (специалист),16645,РАИ,29641,Дизайн,0
f8ba6e94-9bf9-4522-b119-9f4605d4fcac,2023-11-28 21:35:54.186985,2023-11-28 21:35:54.186986,,699977,"",3,Беларусь,281,Брест,"","","","","",Заочное отделение,Выпускник (специалист),2164,БрГТУ,99445,Строительный факультет,1994
336297ec-7022-4ff4-87d8-b84557db117a,2023-11-28 21:35:54.188522,2023-11-28 21:35:54.188524,,699977,"",206,Филиппины,6412,Manila,"","","","","",Очное отделение,Выпускник (магистр),477855,University of Santo Tomas (UST),1904998,College of Architecture,2020
24d725bc-a552-47bf-9497-03748e8cf913,2023-11-28 21:35:54.187929,2023-11-28 21:35:54.187931,,699977,"",1,Россия,9115,Анжеро-Судженск,"","","","","",Заочное отделение,Выпускница (бакалавр),14493,Филиал КемГУ,362133,Факультет педагогического образования,1989
70d27b47-45e8-426e-a282-637aae3305cc,2023-11-28 21:35:54.190482,2023-11-28 21:35:54.190484,,699977,"",1,Россия,1,Москва,"","","","","",Очное отделение,Выпускница (специалист),316,РАМ им. Гнесиных,1378,Фортепианный факультет,1995
026283f3-b8c2-45d2-9d36-0cbcda5dc254,2023-11-28 21:35:54.190529,2023-11-28 21:35:54.19053,,699977,"",209,Франция,1969033,Lille,"","","","","","",Выпускник (специалист),432660,Université Lille I (Sciences et technologie),0,"",2013
29c4b6a4-558c-4620-ba5e-91949aefca2c,2023-11-28 21:35:54.190861,2023-11-28 21:35:54.190862,,699977,"",1,Россия,30,Благовещенск,"","","","","",Дистанционное обучение,Выпускница (магистр),48346,БФ МАП (МосАП),141784,"Факультет экономики и менеджмента (бывш. Экономический, Менеджмента, маркетинга и коммерции)",2007
e86b3bb2-8584-4869-bdfd-3f6aac82e34d,2023-11-28 21:36:10.580999,2023-11-28 21:36:10.581002,,699976,"",218,Швеция,1517678,Örebro,"","","","","",Заочное отделение,Выпускница (магистр),538333,Örebro Universitet (ÖU),2219863,Handelshögskolan,2024
1250ea47-1179-4878-84e6-60c71a02b20f,2023-11-28 21:35:54.19476,2023-11-28 21:35:54.194761,,699977,"",1,Россия,72,Краснодар,"","","","","",Очное отделение,Выпускница (специалист),573,КубГТУ,13335,Факультет строительства и управления недвижимостью,1987
3fc82af4-36a1-4243-9546-4e95127bdc1a,2023-11-28 21:35:54.195492,2023-11-28 21:35:54.195493,,699977,"",1,Россия,1,Москва,"","","","","",Очно-заочное отделение,Выпускница (магистр),161,ИМБО,616,Менеджмент,0
8a1cbab1-47e7-417d-bd5c-ec95619418fd,2023-11-28 21:35:54.197315,2023-11-28 21:35:54.197316,,699977,"",0,"",0,"","","","","","",Экстернат,Выпускница (специалист),2,МГУ,22,Высшая школа бизнеса,2024
71244c7d-2ed7-45e1-af49-b6ee2329c201,2023-11-28 21:36:10.580576,2023-11-28 21:36:10.580578,,699976,"",200,Турция,2204899,İstanbul,"","","","","",Дистанционное обучение,Выпускник (магистр),1018013,Galatasaray Üniversitesi,1949418,Fen Bilimleri Enstitüsü,1961
